Date,Store Zip Code,Product,Units,Amount of Sale,Revenue Discount,COGS,Payment Type
11/14/2016,85224,Fun Fly,1,4.95,0,3.17,5
10/28/2016,85327,Quad,1,43.96,0,22.4,6
12/18/2016,85224,Yanaki,1,28.75,0,14.47,7
11/1/2016,85001,Fun Fly,1,4.95,0,2.69,3
12/4/2016,85001,Fun Fly,1,4.95,0,3.5,5
11/14/2016,85327,Quad,6,263.76,0.1,136.74,4
10/21/2016,85001,Carlota,1,27.95,0,12.57,7
11/9/2016,85001,Fun Fly,1,4.95,0,3.83,3
10/23/2016,85001,Bellen,1,24.95,0,13.77,4
12/18/2016,85001,Quad,1,43.96,0,22.47,5
11/7/2016,85327,Yanaki,1,28.75,0,16.16,1
12/21/2016,85224,Quad,6,263.76,0.1,129.6,5
10/21/2016,85001,Fun Fly,1,4.95,0,3.05,7
10/20/2016,85001,Yanaki,2,57.5,0,29.4,7
10/21/2016,85001,Fun Fly,6,29.7,0.1,19.26,7
10/6/2016,85327,Quad,1,43.96,0,22.34,2
10/30/2016,85224,Crested Beaut,1,37.95,0,23.28,7
11/17/2016,85327,Carlota,2,55.9,0,24.7,3
10/9/2016,85327,Crested Beaut,1,37.95,0,23.26,1
11/18/2016,85001,Fun Fly,1,4.95,0,3.12,4
10/1/2016,85001,Fun Fly,1,4.95,0,3.66,3
12/23/2016,85001,Yanaki,1,28.75,0,14.99,3
11/18/2016,85327,Quad,1,43.96,0,22.21,2
10/21/2016,85327,Fun Fly,1,4.95,0,2.93,3
10/3/2016,85224,Carlota,1,27.95,0,12.98,5
10/6/2016,85327,Fun Fly,1,4.95,0,3.08,7
10/19/2016,85001,Fun Fly,2,9.9,0,6.16,3
11/7/2016,85327,Carlota,1,27.95,0,12.96,5
11/26/2016,85224,Crested Beaut,1,37.95,0,22.19,1
10/30/2016,85327,Fun Fly,1,4.95,0,3.09,4
11/23/2016,85224,Fun Fly,1,4.95,0,2.55,3
12/8/2016,85001,Bellen,1,24.95,0,12.91,8
10/4/2016,85001,Aspen,2,55.9,0,24.82,5
12/15/2016,85327,Yanaki,1,28.75,0,15.09,3
10/13/2016,85327,Quad,2,87.92,0,42.9,7
10/2/2016,85001,Quad,3,131.88,0,64.53,3
10/4/2016,85001,Carlota,1,27.95,0,13.17,1
10/27/2016,85001,Fun Fly,1,4.95,0,3.27,3
10/7/2016,85224,Carlota,1,27.95,0,12.09,4
11/26/2016,85224,Majestic Beaut,1,32.95,0,19,5
11/11/2016,85001,Fun Fly,1,4.95,0,3.44,1
11/19/2016,85001,Fun Fly,3,14.85,0,11.52,5
11/23/2016,85224,Yanaki,1,28.75,0,15.67,6
10/11/2016,85224,Fun Fly,1,4.95,0,2.99,1
12/23/2016,85224,Majestic Beaut,1,32.95,0,20.31,3
12/21/2016,85224,Quad,2,87.92,0,43.92,2
11/27/2016,85001,Quad,1,43.96,0,22.89,8
11/15/2016,85001,Quad,1,43.96,0,22.64,5
12/1/2016,85001,Yanaki,3,86.25,0,43.95,6
10/25/2016,85001,Fun Fly,1,4.95,0,2.75,2
11/28/2016,85001,Aspen,1,27.95,0,12.09,5
10/18/2016,85327,Carlota,1,27.95,0,13.41,7
11/7/2016,85001,Yanaki,1,28.75,0,15.26,5
10/14/2016,85001,Fun Fly,6,29.7,0.1,21.42,5
10/8/2016,85224,Fun Fly,1,4.95,0,3.48,6
12/4/2016,85327,Majestic Beaut,1,32.95,0,20.39,6
11/30/2016,85001,Fun Fly,1,4.95,0,2.57,4
11/21/2016,85001,Majestic Beaut,1,32.95,0,19.02,7
12/16/2016,85224,Fun Fly,4,19.8,0.1,13.68,6
11/15/2016,85001,Fun Fly,1,4.95,0,2.56,1
12/18/2016,85001,Fun Fly,6,29.7,0.1,20.34,6
12/14/2016,85001,Fun Fly,1,4.95,0,3.04,3
11/18/2016,85327,Majestic Beaut,6,197.7,0.1,118.68,3
10/21/2016,85001,Fun Fly,6,29.7,0.1,17.82,4
12/9/2016,85224,Fun Fly,1,4.95,0,3.26,4
10/10/2016,85224,Bellen,1,24.95,0,13.16,6
11/20/2016,85001,Fun Fly,1,4.95,0,3.08,4
10/13/2016,85327,Carlota,1,27.95,0,12.16,4
11/28/2016,85001,Aspen,1,27.95,0,11.57,3
10/7/2016,85327,Fun Fly,6,29.7,0.1,23.88,7
11/8/2016,85001,Fun Fly,1,4.95,0,2.52,8
12/7/2016,85224,Fun Fly,1,4.95,0,3.97,7
11/21/2016,85224,Bellen,1,24.95,0,13.08,5
11/13/2016,85224,Quad,1,43.96,0,21.73,2
11/7/2016,85327,Fun Fly,1,4.95,0,2.6,7
10/9/2016,85001,Fun Fly,1,4.95,0,2.6,6
12/11/2016,85001,Fun Fly,1,4.95,0,3.8,7
10/12/2016,85224,Fun Fly,1,4.95,0,2.79,4
12/18/2016,85327,Quad,2,87.92,0,45.94,3
10/24/2016,85224,Fun Fly,1,4.95,0,3.8,4
10/19/2016,85224,Fun Fly,4,19.8,0.1,14.48,5
11/21/2016,85001,Bellen,1,24.95,0,13.44,8
11/13/2016,85001,Fun Fly,1,4.95,0,3.66,4
12/18/2016,85224,Fun Fly,1,4.95,0,3.79,7
12/20/2016,85001,Fun Fly,1,4.95,0,3.66,1
10/3/2016,85001,Bellen,3,74.85,0,40.77,1
12/18/2016,85001,Carlota,1,27.95,0,12.01,5
11/19/2016,85327,Quad,1,43.96,0,23,2
12/10/2016,85001,Aspen,1,27.95,0,12.01,6
10/7/2016,85001,Fun Fly,1,4.95,0,3.97,4
11/15/2016,85327,Majestic Beaut,1,32.95,0,19.69,5
10/31/2016,85001,Bellen,1,24.95,0,12.95,5
10/21/2016,85224,Majestic Beaut,1,32.95,0,20.38,3
10/13/2016,85327,Quad,1,43.96,0,22.72,5
12/14/2016,85001,Bellen,1,24.95,0,13.32,3
11/29/2016,85001,Carlota,1,27.95,0,12.73,8
12/3/2016,85001,Crested Beaut,1,37.95,0,21.86,2
11/7/2016,85001,Fun Fly,1,4.95,0,3.6,5
12/8/2016,85001,Aspen,6,167.7,0.1,75.84,6
10/14/2016,85001,Fun Fly,6,29.7,0.1,19.74,3
12/6/2016,85001,Aspen,1,27.95,0,12.79,7
11/22/2016,85327,Bellen,1,24.95,0,13.35,6
10/11/2016,85327,Carlota,2,55.9,0,24.24,5
10/21/2016,85224,Quad,1,43.96,0,22.08,5
10/4/2016,85327,Aspen,2,55.9,0,22.66,2
11/21/2016,85327,Carlota,1,27.95,0,13.3,4
10/21/2016,85001,Majestic Beaut,1,32.95,0,19.69,5
11/28/2016,85224,Aspen,1,27.95,0,12.04,5
10/22/2016,85327,Carlota,6,167.7,0.1,78.9,5
10/10/2016,85001,Bellen,1,24.95,0,13.67,5
12/4/2016,85001,Majestic Beaut,1,32.95,0,20.32,3
12/6/2016,85224,Majestic Beaut,1,32.95,0,20.45,3
12/9/2016,85327,Quad,1,43.96,0,22.39,1
10/5/2016,85327,Fun Fly,1,4.95,0,4.01,7
10/9/2016,85327,Quad,1,43.96,0,22.14,7
12/14/2016,85001,Quad,6,263.76,0.1,128.4,7
10/29/2016,85001,Carlota,1,27.95,0,12.25,7
12/12/2016,85327,Quad,1,43.96,0,21.47,7
12/13/2016,85001,Quad,1,43.96,0,22.96,7
12/21/2016,85327,Yanaki,1,28.75,0,15.18,1
11/13/2016,85224,Yanaki,1,28.75,0,14.59,7
12/6/2016,85001,Majestic Beaut,1,32.95,0,19.11,5
12/9/2016,85001,Carlota,3,83.85,0,38.1,5
10/11/2016,85001,Fun Fly,1,4.95,0,2.48,7
10/21/2016,85327,Aspen,1,27.95,0,11.62,5
10/23/2016,85327,Bellen,3,74.85,0,43.29,5
12/22/2016,85327,Carlota,6,167.7,0.1,72.36,3
11/8/2016,85224,Fun Fly,1,4.95,0,2.62,3
10/23/2016,85001,Fun Fly,1,4.95,0,3.13,1
11/28/2016,85001,Fun Fly,1,4.95,0,2.49,6
10/1/2016,85001,Yanaki,1,28.75,0,15.87,6
10/5/2016,85327,Carlota,1,27.95,0,11.91,1
10/29/2016,85001,Bellen,6,149.7,0.1,78.06,8
11/12/2016,85327,Fun Fly,1,4.95,0,3.43,7
10/1/2016,85327,Fun Fly,1,4.95,0,4.03,5
11/8/2016,85001,Majestic Beaut,1,32.95,0,20.6,1
10/31/2016,85327,Fun Fly,1,4.95,0,2.75,5
10/29/2016,85001,Quad,1,43.96,0,21.41,7
11/18/2016,85224,Fun Fly,1,4.95,0,3.35,4
10/4/2016,85001,Quad,6,263.76,0.1,132.66,6
11/19/2016,85001,Fun Fly,1,4.95,0,4.07,3
10/1/2016,85327,Quad,1,43.96,0,21.94,8
10/28/2016,85001,Fun Fly,4,19.8,0.1,15.08,3
10/10/2016,85327,Carlota,1,27.95,0,12.16,5
12/4/2016,85001,Aspen,1,27.95,0,12.78,5
12/12/2016,85327,Aspen,1,27.95,0,12.17,1
10/30/2016,85224,Quad,1,43.96,0,22.37,4
11/16/2016,85327,Fun Fly,1,4.95,0,2.91,5
10/31/2016,85327,Fun Fly,2,9.9,0,5.28,4
11/13/2016,85224,Quad,1,43.96,0,21.39,7
10/1/2016,85327,Fun Fly,1,4.95,0,2.99,7
10/21/2016,85224,Fun Fly,6,29.7,0.1,24.42,3
10/8/2016,85001,Quad,2,87.92,0,43.48,3
12/18/2016,85224,Fun Fly,1,4.95,0,2.85,8
12/17/2016,85327,Carlota,1,27.95,0,12.83,8
11/7/2016,85327,Carlota,3,83.85,0,37.59,1
12/16/2016,85224,Quad,1,43.96,0,22.01,7
11/28/2016,85224,Carlota,2,55.9,0,25.8,4
11/14/2016,85327,Fun Fly,1,4.95,0,3.74,4
10/17/2016,85001,Fun Fly,6,29.7,0.1,22.08,5
10/27/2016,85001,Quad,1,43.96,0,23,7
12/12/2016,85001,Bellen,4,99.8,0.1,52.68,7
10/20/2016,85001,Fun Fly,1,4.95,0,3.43,5
10/13/2016,85001,Fun Fly,1,4.95,0,3.04,3
11/22/2016,85001,Fun Fly,6,29.7,0.1,23.7,7
10/23/2016,85224,Bellen,6,149.7,0.1,79.26,6
10/1/2016,85327,Crested Beaut,1,37.95,0,22.02,4
12/4/2016,85001,Fun Fly,1,4.95,0,3.39,7
12/5/2016,85001,Majestic Beaut,1,32.95,0,19.77,5
10/22/2016,85001,Majestic Beaut,1,32.95,0,20.34,4
11/7/2016,85327,Bellen,1,24.95,0,12.98,1
10/7/2016,85327,Fun Fly,1,4.95,0,3.79,4
12/16/2016,85001,Majestic Beaut,1,32.95,0,20.03,5
11/16/2016,85327,Yanaki,1,28.75,0,15.84,4
10/15/2016,85224,Fun Fly,1,4.95,0,3.2,7
10/2/2016,85001,Bellen,1,24.95,0,12.99,7
10/7/2016,85327,Fun Fly,1,4.95,0,2.6,4
10/13/2016,85327,Fun Fly,1,4.95,0,3.15,2
12/18/2016,85224,Yanaki,1,28.75,0,14.79,6
10/27/2016,85001,Crested Beaut,1,37.95,0,22.46,7
11/6/2016,85327,Carlota,1,27.95,0,13.52,1
10/28/2016,85001,Bellen,1,24.95,0,14.36,1
11/15/2016,85327,Fun Fly,2,9.9,0,7.94,7
10/23/2016,85224,Quad,1,43.96,0,21.61,4
10/26/2016,85224,Carlota,6,167.7,0.1,74.28,3
12/9/2016,85001,Majestic Beaut,4,131.8,0.1,82.28,5
12/11/2016,85224,Quad,2,87.92,0,45.66,3
11/12/2016,85001,Fun Fly,3,14.85,0,9.12,5
11/5/2016,85224,Bellen,1,24.95,0,14.02,5
11/1/2016,85327,Majestic Beaut,1,32.95,0,19.08,5
11/20/2016,85001,Yanaki,1,28.75,0,15.23,1
11/29/2016,85327,Quad,1,43.96,0,22.77,6
11/10/2016,85001,Carlota,2,55.9,0,23.78,4
12/11/2016,85224,Bellen,1,24.95,0,13.16,5
11/10/2016,85327,Fun Fly,1,4.95,0,2.4,4
10/30/2016,85001,Quad,6,263.76,0.1,132.54,6
11/28/2016,85327,Bellen,1,24.95,0,13.52,2
12/18/2016,85001,Carlota,1,27.95,0,13.45,6
11/1/2016,85224,Aspen,1,27.95,0,11.86,6
12/7/2016,85327,Quad,1,43.96,0,22.75,4
12/4/2016,85001,Yanaki,1,28.75,0,14.38,1
11/19/2016,85327,Bellen,2,49.9,0,25.76,4
10/13/2016,85001,Majestic Beaut,1,32.95,0,19.68,3
12/2/2016,85001,Carlota,1,27.95,0,12.93,4
11/16/2016,85327,Fun Fly,1,4.95,0,2.51,1
10/9/2016,85327,Fun Fly,1,4.95,0,2.75,4
12/17/2016,85224,Aspen,1,27.95,0,11.86,7
11/5/2016,85327,Fun Fly,1,4.95,0,2.6,4
10/26/2016,85001,Fun Fly,1,4.95,0,2.51,3
12/1/2016,85001,Quad,1,43.96,0,22.83,5
11/9/2016,85224,Fun Fly,1,4.95,0,3.19,6
11/10/2016,85001,Fun Fly,1,4.95,0,2.43,1
11/14/2016,85001,Fun Fly,1,4.95,0,2.57,6
10/4/2016,85327,Majestic Beaut,1,32.95,0,19.54,5
12/10/2016,85327,Bellen,1,24.95,0,12.76,5
11/26/2016,85224,Aspen,1,27.95,0,11.63,4
10/7/2016,85001,Crested Beaut,1,37.95,0,22.55,4
11/1/2016,85001,Fun Fly,1,4.95,0,2.53,7
10/26/2016,85327,Bellen,1,24.95,0,13.5,5
12/17/2016,85001,Fun Fly,1,4.95,0,3.45,7
11/25/2016,85224,Quad,1,43.96,0,23.01,3
11/13/2016,85001,Aspen,6,167.7,0.1,73.32,3
11/25/2016,85001,Fun Fly,2,9.9,0,8.08,5
10/10/2016,85224,Fun Fly,1,4.95,0,2.73,3
12/24/2016,85001,Quad,1,43.96,0,22.91,5
11/12/2016,85327,Bellen,1,24.95,0,13.1,8
11/22/2016,85001,Fun Fly,1,4.95,0,2.53,5
10/13/2016,85224,Crested Beaut,1,37.95,0,21.78,5
11/16/2016,85001,Bellen,1,24.95,0,13.4,6
11/20/2016,85224,Bellen,1,24.95,0,13.05,4
10/13/2016,85224,Fun Fly,1,4.95,0,4.14,3
10/3/2016,85224,Fun Fly,1,4.95,0,2.77,2
10/2/2016,85327,Fun Fly,1,4.95,0,3.74,1
10/18/2016,85327,Bellen,1,24.95,0,14.19,6
10/30/2016,85001,Bellen,1,24.95,0,14.03,2
11/13/2016,85001,Bellen,1,24.95,0,12.96,4
10/2/2016,85001,Fun Fly,1,4.95,0,2.52,1
12/1/2016,85327,Carlota,1,27.95,0,13.34,3
12/5/2016,85001,Quad,1,43.96,0,22.67,5
12/9/2016,85001,Quad,1,43.96,0,21.4,5
12/17/2016,85224,Fun Fly,1,4.95,0,3.33,6
11/8/2016,85001,Fun Fly,1,4.95,0,3.05,7
11/9/2016,85224,Fun Fly,1,4.95,0,3.42,7
10/2/2016,85327,Fun Fly,6,29.7,0.1,16.68,2
12/18/2016,85327,Fun Fly,1,4.95,0,3.29,1
12/15/2016,85327,Fun Fly,1,4.95,0,3.47,3
10/15/2016,85001,Majestic Beaut,1,32.95,0,19.29,5
11/16/2016,85327,Fun Fly,1,4.95,0,2.68,7
11/5/2016,85001,Fun Fly,1,4.95,0,3.25,2
12/12/2016,85224,Majestic Beaut,1,32.95,0,19.53,7
10/2/2016,85001,Crested Beaut,3,113.85,0,69.24,3
10/13/2016,85327,Majestic Beaut,1,32.95,0,19.12,7
12/6/2016,85224,Quad,1,43.96,0,21.52,4
10/18/2016,85224,Carlota,1,27.95,0,12.71,7
11/19/2016,85224,Quad,1,43.96,0,22.49,7
11/1/2016,85327,Majestic Beaut,1,32.95,0,19.91,6
10/10/2016,85327,Fun Fly,3,14.85,0,8.88,4
11/5/2016,85001,Quad,1,43.96,0,21.67,3
10/8/2016,85001,Quad,2,87.92,0,44.6,5
11/13/2016,85224,Majestic Beaut,1,32.95,0,20.45,6
10/14/2016,85001,Majestic Beaut,1,32.95,0,20.01,1
11/14/2016,85327,Aspen,1,27.95,0,12.52,7
12/16/2016,85327,Majestic Beaut,1,32.95,0,19.64,6
10/31/2016,85001,Carlota,2,55.9,0,26.78,4
10/3/2016,85224,Bellen,1,24.95,0,13.29,2
12/8/2016,85327,Quad,1,43.96,0,22.19,3
10/12/2016,85224,Carlota,1,27.95,0,12.67,5
12/10/2016,85001,Fun Fly,2,9.9,0,6.86,2
10/1/2016,85224,Fun Fly,1,4.95,0,4.15,3
12/9/2016,85001,Bellen,1,24.95,0,13.23,7
10/9/2016,85224,Yanaki,6,172.5,0.1,93.18,7
11/1/2016,85327,Quad,1,43.96,0,22.53,4
10/15/2016,85327,Quad,1,43.96,0,21.32,4
12/1/2016,85001,Quad,1,43.96,0,21.96,7
11/10/2016,85001,Aspen,1,27.95,0,12.19,3
12/5/2016,85001,Fun Fly,1,4.95,0,2.72,5
11/29/2016,85327,Fun Fly,1,4.95,0,3.57,7
10/24/2016,85327,Carlota,1,27.95,0,12.23,4
11/22/2016,85001,Fun Fly,1,4.95,0,3.45,6
11/29/2016,85224,Fun Fly,2,9.9,0,4.96,3
11/13/2016,85001,Fun Fly,1,4.95,0,3.52,5
10/2/2016,85224,Fun Fly,1,4.95,0,2.98,5
10/9/2016,85327,Majestic Beaut,1,32.95,0,19.01,8
11/4/2016,85224,Yanaki,1,28.75,0,14.53,3
12/21/2016,85001,Fun Fly,1,4.95,0,2.48,6
11/7/2016,85327,Fun Fly,1,4.95,0,2.38,2
10/2/2016,85224,Fun Fly,1,4.95,0,3.82,5
10/26/2016,85001,Fun Fly,1,4.95,0,3.98,3
12/12/2016,85001,Carlota,4,111.8,0.1,50.28,7
10/6/2016,85001,Fun Fly,4,19.8,0.1,16.12,6
10/26/2016,85327,Crested Beaut,1,37.95,0,22.75,1
11/2/2016,85224,Fun Fly,1,4.95,0,2.51,7
11/2/2016,85224,Quad,1,43.96,0,22.98,4
11/18/2016,85327,Quad,1,43.96,0,22.96,7
10/1/2016,85001,Crested Beaut,1,37.95,0,22.08,1
12/18/2016,85327,Yanaki,1,28.75,0,14.89,7
11/24/2016,85001,Carlota,1,27.95,0,13.37,1
10/10/2016,85001,Aspen,6,167.7,0.1,74.1,5
11/4/2016,85001,Fun Fly,1,4.95,0,3.1,5
11/6/2016,85001,Quad,6,263.76,0.1,137.4,8
10/22/2016,85001,Majestic Beaut,1,32.95,0,20.1,7
11/12/2016,85001,Crested Beaut,1,37.95,0,22.74,5
10/26/2016,85001,Crested Beaut,1,37.95,0,22.15,5
12/17/2016,85327,Fun Fly,1,4.95,0,2.82,4
11/23/2016,85001,Quad,1,43.96,0,22.02,3
12/22/2016,85224,Carlota,2,55.9,0,24.84,3
11/7/2016,85001,Yanaki,1,28.75,0,15.05,7
10/4/2016,85327,Fun Fly,1,4.95,0,2.37,5
11/8/2016,85327,Bellen,1,24.95,0,13.61,6
11/17/2016,85001,Fun Fly,1,4.95,0,2.68,2
11/24/2016,85001,Fun Fly,1,4.95,0,3.89,1
12/14/2016,85001,Carlota,1,27.95,0,12.3,6
11/11/2016,85224,Fun Fly,6,29.7,0.1,16.8,7
10/26/2016,85001,Fun Fly,1,4.95,0,3.79,4
10/7/2016,85224,Fun Fly,1,4.95,0,2.54,6
10/21/2016,85001,Aspen,6,167.7,0.1,70.26,2
12/3/2016,85327,Fun Fly,1,4.95,0,2.52,1
10/24/2016,85224,Fun Fly,1,4.95,0,2.82,7
12/7/2016,85327,Fun Fly,1,4.95,0,3.22,5
10/11/2016,85327,Fun Fly,1,4.95,0,4.17,3
10/1/2016,85224,Quad,1,43.96,0,21.63,1
12/3/2016,85001,Fun Fly,1,4.95,0,3.36,8
12/12/2016,85327,Fun Fly,1,4.95,0,2.82,8
10/9/2016,85001,Fun Fly,1,4.95,0,2.78,7
12/18/2016,85327,Carlota,1,27.95,0,13.13,5
10/11/2016,85001,Bellen,1,24.95,0,12.72,6
11/6/2016,85001,Quad,1,43.96,0,22.66,8
11/11/2016,85001,Carlota,1,27.95,0,12.22,5
11/14/2016,85327,Fun Fly,1,4.95,0,2.75,3
10/5/2016,85224,Fun Fly,1,4.95,0,3.77,6
12/19/2016,85001,Yanaki,1,28.75,0,15.23,5
10/29/2016,85327,Crested Beaut,3,113.85,0,69.57,3
12/24/2016,85001,Bellen,1,24.95,0,14.43,6
12/6/2016,85001,Majestic Beaut,1,32.95,0,19.82,6
11/8/2016,85001,Majestic Beaut,1,32.95,0,20.43,1
12/22/2016,85327,Quad,1,43.96,0,22.45,7
10/15/2016,85001,Crested Beaut,1,37.95,0,22.88,7
11/4/2016,85001,Yanaki,1,28.75,0,15.3,1
11/21/2016,85327,Fun Fly,1,4.95,0,4.09,7
12/9/2016,85224,Majestic Beaut,1,32.95,0,19.41,1
11/12/2016,85327,Yanaki,6,172.5,0.1,91.44,7
11/14/2016,85327,Fun Fly,1,4.95,0,4.13,8
10/23/2016,85001,Fun Fly,6,29.7,0.1,24.9,5
11/23/2016,85224,Fun Fly,1,4.95,0,4.06,3
12/7/2016,85327,Quad,1,43.96,0,22.36,7
10/17/2016,85224,Quad,1,43.96,0,22.96,7
11/5/2016,85001,Majestic Beaut,1,32.95,0,19.94,7
11/17/2016,85327,Fun Fly,1,4.95,0,3.1,4
11/6/2016,85001,Quad,1,43.96,0,21.84,6
12/23/2016,85001,Quad,1,43.96,0,22.12,5
10/22/2016,85001,Quad,1,43.96,0,22.58,4
12/24/2016,85224,Yanaki,1,28.75,0,15.05,4
11/21/2016,85001,Yanaki,1,28.75,0,15.1,7
10/12/2016,85001,Fun Fly,6,29.7,0.1,19.74,7
11/26/2016,85001,Yanaki,6,172.5,0.1,87.66,8
10/23/2016,85001,Crested Beaut,6,227.7,0.1,134.16,7
11/28/2016,85327,Quad,1,43.96,0,22.75,3
11/12/2016,85001,Quad,1,43.96,0,22.53,5
10/25/2016,85001,Bellen,1,24.95,0,13.61,5
12/13/2016,85001,Yanaki,1,28.75,0,15.51,2
10/3/2016,85327,Majestic Beaut,1,32.95,0,19.95,6
11/23/2016,85327,Carlota,6,167.7,0.1,78.72,8
11/6/2016,85001,Fun Fly,1,4.95,0,3.28,7
10/11/2016,85001,Carlota,6,167.7,0.1,74.82,7
10/17/2016,85224,Quad,1,43.96,0,22.99,4
11/26/2016,85224,Majestic Beaut,1,32.95,0,19.12,3
10/7/2016,85327,Fun Fly,2,9.9,0,5.82,5
12/12/2016,85327,Fun Fly,1,4.95,0,3.73,8
12/23/2016,85001,Yanaki,1,28.75,0,14.68,3
12/23/2016,85001,Quad,1,43.96,0,21.24,7
11/8/2016,85001,Bellen,1,24.95,0,14.07,4
10/27/2016,85001,Fun Fly,1,4.95,0,3.37,8
12/17/2016,85224,Fun Fly,2,9.9,0,7.94,2
10/27/2016,85001,Fun Fly,1,4.95,0,3.51,3
12/20/2016,85327,Quad,3,131.88,0,67.17,7
10/3/2016,85001,Carlota,1,27.95,0,12.8,5
11/15/2016,85001,Fun Fly,1,4.95,0,4.06,8
12/8/2016,85224,Carlota,1,27.95,0,11.88,1
12/15/2016,85001,Yanaki,1,28.75,0,14.92,3
10/25/2016,85327,Bellen,1,24.95,0,14.15,3
12/5/2016,85001,Bellen,1,24.95,0,13.38,4
11/18/2016,85224,Quad,6,263.76,0.1,133.86,2
10/28/2016,85001,Carlota,1,27.95,0,12.15,4
11/17/2016,85001,Carlota,1,27.95,0,13.1,5
11/23/2016,85224,Fun Fly,4,19.8,0.1,11.84,4
11/10/2016,85001,Fun Fly,6,29.7,0.1,18.96,2
10/14/2016,85001,Carlota,1,27.95,0,13.15,5
11/15/2016,85001,Fun Fly,3,14.85,0,12,3
11/18/2016,85224,Aspen,6,167.7,0.1,67.5,7
10/19/2016,85327,Bellen,1,24.95,0,12.95,7
11/24/2016,85001,Fun Fly,1,4.95,0,2.67,7
11/25/2016,85327,Fun Fly,1,4.95,0,2.54,3
12/3/2016,85224,Carlota,1,27.95,0,13.13,4
11/16/2016,85327,Fun Fly,1,4.95,0,3.06,5
10/20/2016,85001,Bellen,3,74.85,0,38.13,5
11/25/2016,85001,Fun Fly,4,19.8,0.1,16.52,7
10/3/2016,85001,Fun Fly,1,4.95,0,3.45,3
11/7/2016,85001,Majestic Beaut,1,32.95,0,19.79,7
11/10/2016,85001,Fun Fly,1,4.95,0,2.85,7
12/21/2016,85001,Fun Fly,1,4.95,0,3.85,5
10/2/2016,85001,Crested Beaut,1,37.95,0,23.33,5
12/15/2016,85327,Yanaki,1,28.75,0,15.87,1
10/20/2016,85001,Fun Fly,3,14.85,0,7.17,2
10/11/2016,85001,Majestic Beaut,1,32.95,0,19.32,6
12/14/2016,85327,Quad,1,43.96,0,22.26,8
12/10/2016,85001,Bellen,1,24.95,0,13.01,5
11/26/2016,85224,Fun Fly,1,4.95,0,3.6,3
10/30/2016,85001,Fun Fly,1,4.95,0,2.37,5
12/3/2016,85001,Fun Fly,1,4.95,0,2.46,3
12/10/2016,85224,Fun Fly,1,4.95,0,3.36,3
11/5/2016,85001,Fun Fly,1,4.95,0,2.88,3
12/23/2016,85001,Quad,2,87.92,0,42.68,3
11/18/2016,85001,Yanaki,1,28.75,0,14.46,4
10/11/2016,85327,Fun Fly,1,4.95,0,3.97,4
10/1/2016,85327,Yanaki,1,28.75,0,14.78,1
12/22/2016,85001,Carlota,6,167.7,0.1,70.92,6
10/3/2016,85224,Fun Fly,1,4.95,0,3.87,6
12/11/2016,85001,Fun Fly,1,4.95,0,4.05,7
11/11/2016,85001,Yanaki,4,115,0.1,60.84,3
10/24/2016,85001,Majestic Beaut,1,32.95,0,19,2
