Date,Store Zip Code,Product,Units,Amount of Sale,Revenue Discount,COGS,Payment ID
11/8/2016,87315,Yanaki,6,178.5,0.125,119.16,6
10/12/2016,87315,Carlota,1,28.95,0,10.7,7
12/2/2016,87941,Fun Fly,12,59.4,0.215,56.04,1
12/22/2016,87315,Yanaki,1,29.75,0,15.44,1
12/7/2016,87001,Fun Fly,1,4.95,0,10.92,7
12/10/2016,87103,Carlota,1,28.95,0,11.61,1
12/13/2016,87001,Quad,13,584.48,0.215,302.77,1
10/9/2016,87941,Majestic Beaut,1,33.95,0,23.72,4
11/29/2016,87037,Quad,12,539.52,0.215,298.68,5
12/14/2016,87941,Majestic Beaut,6,203.7,0.125,127.74,2
10/11/2016,87506,Yanaki,1,29.75,0,22.81,2
10/17/2016,87037,Carlota,1,28.95,0,15.62,4
10/19/2016,87001,Carlota,1,28.95,0,17.64,1
11/1/2016,87001,Yanaki,12,357,0.215,231.48,7
12/24/2016,87001,Bellen,1,25.95,0,15.12,6
11/27/2016,87941,Crested Beaut,1,38.95,0,20.65,5
11/12/2016,87001,Aspen,1,28.95,0,19.36,6
12/15/2016,87001,Quad,15,674.4,0.215,408.3,7
12/7/2016,87315,Quad,2,89.92,0,45.58,4
11/16/2016,87001,Majestic Beaut,1,33.95,0,17.39,1
10/29/2016,87103,Yanaki,1,29.75,0,14.09,4
12/5/2016,87001,Quad,1,44.96,0,27.82,4
10/2/2016,87506,Crested Beaut,12,467.4,0.215,203.76,7
10/14/2016,87001,Quad,1,44.96,0,24.01,4
10/22/2016,87315,Quad,1,44.96,0,23.9,4
12/5/2016,87941,Quad,1,44.96,0,23.07,4
10/10/2016,87001,Quad,4,179.84,0.1,82.64,7
11/23/2016,87001,Carlota,1,28.95,0,14.38,7
10/22/2016,87037,Carlota,1,28.95,0,19.69,4
10/19/2016,87506,Crested Beaut,6,233.7,0.125,127.56,7
10/17/2016,87315,Yanaki,1,29.75,0,20.95,3
10/22/2016,87001,Yanaki,1,29.75,0,15.13,4
10/28/2016,87941,Bellen,1,25.95,0,15.14,3
11/13/2016,87037,Carlota,6,173.7,0.125,95.4,6
12/5/2016,87037,Quad,12,539.52,0.215,321,4
10/17/2016,87001,Fun Fly,1,4.95,0,9.1,1
10/18/2016,87001,Fun Fly,1,4.95,0,7.39,6
11/1/2016,87941,Majestic Beaut,3,101.85,0,70.38,7
11/28/2016,87941,Bellen,1,25.95,0,12.36,4
11/10/2016,87001,Majestic Beaut,6,203.7,0.125,130.68,8
11/27/2016,87315,Yanaki,12,357,0.215,175.92,7
11/24/2016,87315,Aspen,1,28.95,0,10.7,8
12/12/2016,87315,Quad,12,539.52,0.215,258.6,7
12/12/2016,87001,Crested Beaut,1,38.95,0,19.28,2
12/17/2016,87001,Majestic Beaut,1,33.95,0,17.81,3
11/29/2016,87506,Majestic Beaut,1,33.95,0,21.87,3
12/20/2016,87001,Fun Fly,1,4.95,0,2.75,8
10/13/2016,87001,Carlota,1,28.95,0,12.61,7
12/22/2016,87001,Yanaki,1,29.75,0,21.18,1
11/3/2016,87315,Carlota,1,28.95,0,18.57,1
11/19/2016,87315,Quad,1,44.96,0,21.5,5
12/14/2016,87103,Carlota,6,173.7,0.125,102.72,6
10/3/2016,87001,Bellen,1,25.95,0,15.53,5
12/16/2016,87001,Crested Beaut,1,38.95,0,22.81,6
11/12/2016,87001,Quad,12,539.52,0.215,321.6,6
12/17/2016,87037,Carlota,1,28.95,0,19,7
10/5/2016,87001,Quad,1,44.96,0,29.48,7
12/21/2016,87001,Majestic Beaut,1,33.95,0,24.2,7
12/1/2016,87315,Aspen,1,28.95,0,11.71,4
12/21/2016,87001,Fun Fly,1,4.95,0,7.56,6
12/7/2016,87037,Majestic Beaut,3,101.85,0,50.31,4
10/10/2016,87001,Yanaki,1,29.75,0,13.35,1
10/21/2016,87001,Aspen,1,28.95,0,10.9,2
10/31/2016,87001,Majestic Beaut,1,33.95,0,23,5
12/10/2016,87001,Quad,1,44.96,0,21.99,6
12/11/2016,87001,Crested Beaut,6,233.7,0.125,105.66,7
11/28/2016,87941,Fun Fly,1,4.95,0,6,7
11/25/2016,87941,Majestic Beaut,1,33.95,0,19.88,3
10/21/2016,87506,Bellen,1,25.95,0,18.78,1
10/15/2016,87941,Carlota,1,28.95,0,16.06,1
10/19/2016,87001,Fun Fly,1,4.95,0,9.65,7
12/2/2016,87001,Crested Beaut,1,38.95,0,22.86,7
10/31/2016,87941,Yanaki,1,29.75,0,17.47,5
12/13/2016,87001,Quad,1,44.96,0,21.5,7
12/11/2016,87037,Quad,4,179.84,0.1,106.28,6
11/4/2016,87001,Majestic Beaut,6,203.7,0.125,94.32,1
11/7/2016,87001,Carlota,1,28.95,0,14.3,2
10/17/2016,87001,Quad,9,404.64,0.125,231.75,6
10/20/2016,87037,Yanaki,6,178.5,0.125,138.78,7
10/23/2016,87103,Carlota,1,28.95,0,14.56,6
11/21/2016,87941,Fun Fly,12,59.4,0.215,99.96,7
10/22/2016,87315,Majestic Beaut,1,33.95,0,24.82,3
11/28/2016,87001,Majestic Beaut,1,33.95,0,23.49,7
11/18/2016,87001,Carlota,1,28.95,0,17.02,7
10/30/2016,87315,Quad,1,44.96,0,30.2,6
12/23/2016,87037,Crested Beaut,1,38.95,0,22.55,5
10/6/2016,87001,Majestic Beaut,1,33.95,0,21.73,4
10/18/2016,87001,Quad,1,44.96,0,23.63,7
10/11/2016,87941,Carlota,6,173.7,0.125,114.24,7
12/18/2016,87037,Bellen,8,207.6,0.125,133.6,4
10/16/2016,87506,Majestic Beaut,8,271.6,0.125,192.64,7
12/8/2016,87103,Majestic Beaut,1,33.95,0,20.76,7
10/26/2016,87506,Carlota,1,28.95,0,11.05,6
11/2/2016,87001,Carlota,12,347.4,0.215,220.32,6
12/18/2016,87315,Fun Fly,8,39.6,0.125,55.28,7
10/12/2016,87037,Majestic Beaut,6,203.7,0.125,113.1,7
12/18/2016,87103,Majestic Beaut,12,407.4,0.215,200.04,4
12/15/2016,87037,Bellen,1,25.95,0,14.97,5
10/26/2016,87001,Majestic Beaut,15,509.25,0.215,362.25,4
11/7/2016,87001,Crested Beaut,1,38.95,0,17.57,8
11/11/2016,87001,Fun Fly,1,4.95,0,8.43,6
12/24/2016,87001,Yanaki,6,178.5,0.125,96,4
10/8/2016,87001,Majestic Beaut,12,407.4,0.215,276.72,5
12/7/2016,87941,Majestic Beaut,1,33.95,0,21.01,4
10/10/2016,87001,Majestic Beaut,2,67.9,0,45.82,6
11/12/2016,87103,Bellen,12,311.4,0.215,216.96,6
12/22/2016,87037,Quad,1,44.96,0,24.24,6
11/7/2016,87315,Aspen,1,28.95,0,15.38,7
12/16/2016,87001,Majestic Beaut,2,67.9,0,43.34,1
11/19/2016,87001,Crested Beaut,6,233.7,0.125,116.94,7
11/22/2016,87315,Bellen,1,25.95,0,19.03,6
12/8/2016,87506,Yanaki,1,29.75,0,15.48,5
11/10/2016,87506,Carlota,6,173.7,0.125,99.18,2
11/8/2016,87315,Quad,1,44.96,0,21.35,1
12/15/2016,87001,Crested Beaut,1,38.95,0,26.48,4
12/14/2016,87315,Majestic Beaut,6,203.7,0.125,141,6
10/20/2016,87037,Carlota,1,28.95,0,11.32,3
11/23/2016,87103,Carlota,6,173.7,0.125,94.86,1
11/24/2016,87001,Crested Beaut,1,38.95,0,18.38,4
10/25/2016,87103,Carlota,1,28.95,0,13.96,2
12/24/2016,87037,Bellen,1,25.95,0,20.97,1
12/13/2016,87001,Quad,1,44.96,0,28.77,7
10/24/2016,87001,Majestic Beaut,1,33.95,0,24.17,1
10/29/2016,87103,Yanaki,3,89.25,0,43.68,4
10/6/2016,87001,Bellen,6,155.7,0.125,114.84,7
11/25/2016,87315,Yanaki,1,29.75,0,23.23,1
12/16/2016,87103,Crested Beaut,6,233.7,0.125,118.62,7
12/20/2016,87103,Crested Beaut,6,233.7,0.125,149.88,6
10/6/2016,87001,Majestic Beaut,1,33.95,0,19.25,6
10/3/2016,87001,Carlota,4,115.8,0.1,62.12,1
11/25/2016,87001,Quad,1,44.96,0,22.93,7
11/13/2016,87103,Majestic Beaut,1,33.95,0,19.43,6
11/19/2016,87103,Majestic Beaut,1,33.95,0,23.52,4
12/21/2016,87506,Yanaki,1,29.75,0,21.5,5
10/11/2016,87001,Quad,12,539.52,0.215,259.2,7
11/22/2016,87103,Carlota,1,28.95,0,15.99,6
12/19/2016,87001,Quad,4,179.84,0.1,102.96,7
12/15/2016,87315,Bellen,1,25.95,0,19.46,4
10/16/2016,87001,Bellen,2,51.9,0,31,6
11/5/2016,87001,Aspen,3,86.85,0,57.78,4
10/17/2016,87037,Carlota,1,28.95,0,19.5,4
11/13/2016,87001,Fun Fly,1,4.95,0,1.64,2
11/13/2016,87315,Carlota,2,57.9,0,32.7,6
11/13/2016,87001,Bellen,5,129.75,0.1,95.25,7
11/23/2016,87315,Fun Fly,1,4.95,0,8.45,7
10/16/2016,87315,Yanaki,1,29.75,0,19.77,4
12/13/2016,87037,Majestic Beaut,1,33.95,0,16.15,7
12/20/2016,87001,Majestic Beaut,1,33.95,0,24.36,5
10/14/2016,87001,Bellen,2,51.9,0,39.36,7
12/16/2016,87941,Yanaki,1,29.75,0,13.94,4
12/18/2016,87037,Majestic Beaut,1,33.95,0,22.68,1
10/15/2016,87506,Quad,12,539.52,0.215,332.04,4
10/7/2016,87001,Quad,1,44.96,0,23.35,4
11/14/2016,87001,Bellen,1,25.95,0,18.87,5
11/2/2016,87315,Bellen,6,155.7,0.125,122.7,7
12/21/2016,87001,Yanaki,6,178.5,0.125,132.12,4
10/26/2016,87941,Quad,6,269.76,0.125,137.64,1
10/6/2016,87506,Majestic Beaut,1,33.95,0,17.21,6
10/30/2016,87037,Carlota,6,173.7,0.125,97.62,1
12/22/2016,87001,Aspen,12,347.4,0.215,141.48,7
10/1/2016,87001,Yanaki,1,29.75,0,19.92,7
10/12/2016,87941,Quad,1,44.96,0,25.13,7
10/24/2016,87103,Crested Beaut,1,38.95,0,26.54,7
10/9/2016,87315,Yanaki,1,29.75,0,14.78,1
11/6/2016,87001,Fun Fly,3,14.85,0,16.14,7
11/15/2016,87941,Yanaki,6,178.5,0.125,134.88,4
10/31/2016,87001,Crested Beaut,1,38.95,0,19,7
12/23/2016,87001,Crested Beaut,4,155.8,0.1,90.72,6
12/23/2016,87941,Crested Beaut,14,545.3,0.215,352.1,7
11/15/2016,87001,Quad,8,359.68,0.125,199.12,6
11/21/2016,87103,Carlota,1,28.95,0,13.77,7
10/29/2016,87001,Majestic Beaut,1,33.95,0,18.36,1
12/24/2016,87001,Carlota,1,28.95,0,16.62,6
12/22/2016,87001,Bellen,1,25.95,0,19.67,6
10/18/2016,87103,Quad,13,584.48,0.215,356.59,2
12/18/2016,87001,Quad,6,269.76,0.125,128.46,2
12/16/2016,87001,Aspen,1,28.95,0,11.1,4
12/4/2016,87001,Carlota,12,347.4,0.215,206.88,1
12/13/2016,87941,Crested Beaut,1,38.95,0,21.39,5
10/29/2016,87506,Quad,2,89.92,0,45.46,6
10/7/2016,87037,Bellen,1,25.95,0,16.35,4
10/10/2016,87103,Quad,1,44.96,0,26.26,4
11/1/2016,87001,Carlota,1,28.95,0,17.32,7
10/19/2016,87001,Crested Beaut,1,38.95,0,26.2,2
10/20/2016,87001,Majestic Beaut,1,33.95,0,19.83,8
10/23/2016,87001,Bellen,1,25.95,0,17.52,7
12/11/2016,87001,Majestic Beaut,12,407.4,0.215,256.68,5
10/21/2016,87001,Majestic Beaut,1,33.95,0,22.06,5
12/20/2016,87001,Carlota,1,28.95,0,17.31,7
10/29/2016,87001,Carlota,12,347.4,0.215,224.28,7
12/22/2016,87037,Quad,1,44.96,0,22.86,6
12/16/2016,87001,Bellen,6,155.7,0.125,108.96,1
12/15/2016,87941,Majestic Beaut,1,33.95,0,21.99,7
12/13/2016,87001,Carlota,6,173.7,0.125,79.92,1
10/5/2016,87001,Carlota,6,173.7,0.125,82.68,4
11/28/2016,87001,Bellen,1,25.95,0,19.4,5
10/26/2016,87941,Carlota,1,28.95,0,13.9,7
10/18/2016,87506,Majestic Beaut,6,203.7,0.125,99.72,4
10/7/2016,87103,Majestic Beaut,10,339.5,0.125,173.3,1
11/27/2016,87001,Quad,1,44.96,0,27.09,7
10/29/2016,87315,Majestic Beaut,1,33.95,0,18.54,6
11/19/2016,87037,Quad,1,44.96,0,30.28,6
10/11/2016,87001,Bellen,3,77.85,0,44.07,4
12/14/2016,87506,Aspen,1,28.95,0,15.37,7
11/8/2016,87315,Quad,1,44.96,0,29.83,2
11/2/2016,87506,Quad,1,44.96,0,30.17,6
12/6/2016,87001,Bellen,1,25.95,0,19.68,4
11/23/2016,87103,Quad,1,44.96,0,23.49,2
11/10/2016,87001,Fun Fly,12,59.4,0.215,58.44,3
12/12/2016,87315,Carlota,1,28.95,0,15.87,2
10/9/2016,87103,Quad,2,89.92,0,42.78,7
10/7/2016,87315,Majestic Beaut,1,33.95,0,15.89,6
11/14/2016,87941,Aspen,14,405.3,0.215,177.94,7
11/11/2016,87037,Carlota,1,28.95,0,11.35,6
11/27/2016,87037,Majestic Beaut,1,33.95,0,21.54,8
12/9/2016,87001,Carlota,1,28.95,0,18.37,7
11/4/2016,87001,Bellen,1,25.95,0,16.72,7
11/21/2016,87506,Carlota,1,28.95,0,15.63,4
12/5/2016,87001,Crested Beaut,4,155.8,0.1,104.52,2
11/13/2016,87001,Yanaki,1,29.75,0,16.01,6
11/6/2016,87506,Carlota,1,28.95,0,10.69,3
11/9/2016,87315,Bellen,1,25.95,0,19.96,1
12/8/2016,87506,Majestic Beaut,1,33.95,0,21.93,6
11/2/2016,87001,Bellen,6,155.7,0.125,130.38,7
10/14/2016,87315,Yanaki,6,178.5,0.125,129.6,7
10/11/2016,87037,Aspen,3,86.85,0,45.96,2
11/1/2016,87001,Aspen,12,347.4,0.215,220.44,6
10/26/2016,87103,Majestic Beaut,4,135.8,0.1,82.16,1
12/13/2016,87001,Crested Beaut,1,38.95,0,22.04,4
12/16/2016,87941,Fun Fly,1,4.95,0,6.04,4
11/24/2016,87037,Majestic Beaut,3,101.85,0,67.8,7
11/17/2016,87001,Quad,1,44.96,0,30.18,7
11/9/2016,87001,Quad,1,44.96,0,22.61,4
11/10/2016,87001,Carlota,1,28.95,0,14.54,7
11/1/2016,87103,Carlota,6,173.7,0.125,103.08,6
11/17/2016,87506,Quad,6,269.76,0.125,174.12,8
10/25/2016,87315,Yanaki,1,29.75,0,14.54,2
11/10/2016,87001,Carlota,1,28.95,0,15.92,6
10/11/2016,87001,Aspen,2,57.9,0,20.72,6
10/10/2016,87001,Bellen,12,311.4,0.215,256.56,2
11/13/2016,87037,Majestic Beaut,12,407.4,0.215,182.04,6
12/14/2016,87037,Bellen,3,77.85,0,55.41,6
11/13/2016,87001,Quad,12,539.52,0.215,306.84,1
11/4/2016,87941,Majestic Beaut,1,33.95,0,16.07,7
12/18/2016,87001,Fun Fly,4,19.8,0.1,35.32,7
11/20/2016,87001,Carlota,6,173.7,0.125,114.66,7
12/8/2016,87103,Carlota,1,28.95,0,16.88,7
11/24/2016,87001,Yanaki,1,29.75,0,17.34,6
10/8/2016,87506,Bellen,1,25.95,0,12.25,7
11/14/2016,87001,Majestic Beaut,1,33.95,0,15.21,4
11/9/2016,87001,Bellen,1,25.95,0,16.76,1
12/14/2016,87941,Yanaki,1,29.75,0,18.54,2
11/16/2016,87001,Quad,1,44.96,0,21.6,5
10/3/2016,87037,Yanaki,1,29.75,0,16.69,1
12/24/2016,87037,Quad,12,539.52,0.215,258.96,7
12/10/2016,87001,Carlota,6,173.7,0.125,79.56,7
12/12/2016,87001,Crested Beaut,1,38.95,0,20.65,4
10/1/2016,87315,Aspen,1,28.95,0,17.45,7
11/18/2016,87103,Majestic Beaut,12,407.4,0.215,246.12,4
11/23/2016,87001,Bellen,1,25.95,0,19.66,5
11/23/2016,87001,Bellen,1,25.95,0,16.04,4
10/13/2016,87001,Carlota,1,28.95,0,18.86,1
10/12/2016,87941,Aspen,4,115.8,0.1,73.92,4
11/10/2016,87315,Crested Beaut,1,38.95,0,24.49,4
11/25/2016,87001,Majestic Beaut,1,33.95,0,20.48,1
10/3/2016,87506,Carlota,6,173.7,0.125,111.84,7
10/4/2016,87315,Crested Beaut,14,545.3,0.215,327.46,6
11/12/2016,87103,Majestic Beaut,1,33.95,0,23.85,5
10/29/2016,87506,Fun Fly,1,4.95,0,7.49,7
12/19/2016,87001,Carlota,1,28.95,0,19.23,6
12/9/2016,87315,Majestic Beaut,1,33.95,0,15.08,4
11/16/2016,87001,Carlota,1,28.95,0,19.89,7
11/30/2016,87001,Bellen,1,25.95,0,20.45,4
10/20/2016,87001,Carlota,6,173.7,0.125,99.42,6
11/10/2016,87506,Quad,1,44.96,0,26.21,5
11/27/2016,87941,Yanaki,1,29.75,0,15.83,8
10/7/2016,87001,Yanaki,1,29.75,0,15.07,3
10/22/2016,87506,Majestic Beaut,1,33.95,0,22.12,4
11/14/2016,87037,Majestic Beaut,1,33.95,0,17.17,7
11/7/2016,87315,Majestic Beaut,9,305.55,0.125,157.5,6
10/28/2016,87001,Yanaki,6,178.5,0.125,120.36,1
11/14/2016,87941,Quad,1,44.96,0,29.76,5
12/21/2016,87037,Carlota,9,260.55,0.125,172.26,4
12/4/2016,87001,Bellen,2,51.9,0,38.26,8
12/13/2016,87506,Majestic Beaut,1,33.95,0,24.87,7
12/23/2016,87315,Quad,5,224.8,0.1,152.15,4
10/10/2016,87001,Yanaki,1,29.75,0,16.28,6
12/11/2016,87001,Fun Fly,1,4.95,0,1.4,4
11/15/2016,87001,Carlota,1,28.95,0,17.9,8
10/26/2016,87941,Yanaki,1,29.75,0,15.82,5
11/11/2016,87103,Fun Fly,1,4.95,0,7.24,6
11/16/2016,87315,Bellen,12,311.4,0.215,180.24,6
11/17/2016,87001,Yanaki,1,29.75,0,19.18,4
12/7/2016,87506,Carlota,1,28.95,0,12.21,7
10/12/2016,87506,Carlota,1,28.95,0,20,4
11/4/2016,87037,Quad,1,44.96,0,22.95,4
10/13/2016,87103,Aspen,1,28.95,0,17.12,8
11/15/2016,87506,Majestic Beaut,1,33.95,0,15.81,5
10/2/2016,87941,Quad,1,44.96,0,29.56,7
10/5/2016,87001,Majestic Beaut,1,33.95,0,23.35,7
10/18/2016,87103,Crested Beaut,1,38.95,0,21.35,5
12/11/2016,87001,Fun Fly,4,19.8,0.1,37.28,2
11/26/2016,87941,Carlota,1,28.95,0,19.04,4
11/20/2016,87941,Carlota,12,347.4,0.215,141.24,7
11/26/2016,87001,Carlota,1,28.95,0,15.42,6
11/24/2016,87001,Fun Fly,1,4.95,0,1.43,4
10/11/2016,87001,Bellen,9,233.55,0.125,173.43,7
10/12/2016,87506,Yanaki,1,29.75,0,22.63,7
11/7/2016,87941,Carlota,6,173.7,0.125,116.82,4
10/24/2016,87037,Majestic Beaut,6,203.7,0.125,124.44,6
12/17/2016,87001,Majestic Beaut,12,407.4,0.215,213.12,6
10/9/2016,87941,Majestic Beaut,1,33.95,0,17.59,7
11/12/2016,87001,Majestic Beaut,1,33.95,0,16.93,6
11/30/2016,87001,Yanaki,2,59.5,0,44.88,6
10/18/2016,87001,Quad,1,44.96,0,28.92,6
11/6/2016,87001,Carlota,1,28.95,0,17.07,6
11/19/2016,87037,Bellen,1,25.95,0,17.74,5
11/3/2016,87103,Majestic Beaut,1,33.95,0,15.85,7
12/20/2016,87103,Quad,6,269.76,0.125,152.34,1
11/24/2016,87001,Bellen,12,311.4,0.215,171.72,2
12/13/2016,87001,Crested Beaut,1,38.95,0,17.67,1
11/26/2016,87001,Majestic Beaut,6,203.7,0.125,128.94,4
10/3/2016,87001,Crested Beaut,1,38.95,0,17.46,4
10/10/2016,87001,Quad,12,539.52,0.215,333,7
11/17/2016,87315,Bellen,2,51.9,0,26.68,6
12/6/2016,87315,Bellen,1,25.95,0,16.89,7
12/14/2016,87001,Yanaki,1,29.75,0,20.82,7
10/26/2016,87001,Yanaki,1,29.75,0,18.74,1
11/7/2016,87941,Majestic Beaut,1,33.95,0,20.64,6
11/19/2016,87001,Yanaki,6,178.5,0.125,115.02,1
10/23/2016,87001,Crested Beaut,6,233.7,0.125,150.06,7
10/25/2016,87037,Bellen,1,25.95,0,20.93,7
11/13/2016,87037,Yanaki,2,59.5,0,37.26,6
12/18/2016,87001,Quad,1,44.96,0,26.45,6
11/19/2016,87001,Bellen,12,311.4,0.215,147.48,7
10/3/2016,87941,Majestic Beaut,1,33.95,0,17.67,7
11/3/2016,87001,Carlota,1,28.95,0,16.42,1
10/12/2016,87001,Crested Beaut,6,233.7,0.125,130.14,5
12/24/2016,87941,Bellen,1,25.95,0,14.26,7
10/21/2016,87315,Carlota,1,28.95,0,15.79,5
12/18/2016,87037,Quad,1,44.96,0,30.01,6
11/8/2016,87001,Majestic Beaut,1,33.95,0,16.12,3
10/6/2016,87103,Carlota,1,28.95,0,16.31,6
11/29/2016,87001,Majestic Beaut,1,33.95,0,21.62,6
10/17/2016,87001,Yanaki,1,29.75,0,22.28,7
12/24/2016,87506,Crested Beaut,11,428.45,0.125,271.48,7
10/18/2016,87001,Carlota,6,173.7,0.125,97.44,5
11/10/2016,87506,Majestic Beaut,1,33.95,0,21.33,3
10/14/2016,87001,Crested Beaut,1,38.95,0,25.05,4
10/4/2016,87506,Quad,1,44.96,0,22.53,4
10/11/2016,87506,Majestic Beaut,4,135.8,0.1,74.24,7
11/29/2016,87037,Carlota,4,115.8,0.1,46.56,7
10/18/2016,87103,Crested Beaut,1,38.95,0,18.05,8
11/17/2016,87001,Bellen,1,25.95,0,12.39,4
11/5/2016,87941,Carlota,12,347.4,0.215,245.16,7
10/2/2016,87001,Yanaki,9,267.75,0.125,122.13,6
10/6/2016,87315,Carlota,12,347.4,0.215,216,6
11/26/2016,87001,Quad,6,269.76,0.125,166.08,7
11/8/2016,87315,Bellen,6,155.7,0.125,94.92,7
10/8/2016,87506,Bellen,4,103.8,0.1,82.08,7
12/13/2016,87001,Aspen,1,28.95,0,19.86,7
11/23/2016,87506,Yanaki,1,29.75,0,21.82,7
10/16/2016,87001,Bellen,1,25.95,0,14.2,7
10/7/2016,87506,Majestic Beaut,12,407.4,0.215,272.04,5
10/12/2016,87001,Bellen,6,155.7,0.125,105.42,6
10/8/2016,87103,Carlota,12,347.4,0.215,154.44,5
10/18/2016,87103,Yanaki,1,29.75,0,22.21,4
10/1/2016,87103,Carlota,2,57.9,0,24.34,5
11/23/2016,87941,Yanaki,12,357,0.215,173.52,5
11/10/2016,87037,Crested Beaut,1,38.95,0,18.63,4
10/10/2016,87506,Yanaki,3,89.25,0,68.94,7
11/22/2016,87103,Yanaki,6,178.5,0.125,80.58,4
11/28/2016,87103,Carlota,1,28.95,0,16.71,6
10/23/2016,87315,Bellen,1,25.95,0,19.23,7
10/19/2016,87001,Quad,1,44.96,0,28.66,7
11/9/2016,87001,Bellen,2,51.9,0,31.48,4
12/9/2016,87001,Quad,3,134.88,0,67.59,4
11/28/2016,87001,Majestic Beaut,3,101.85,0,45.99,1
11/8/2016,87037,Quad,1,44.96,0,29.37,4
12/16/2016,87001,Bellen,3,77.85,0,42.42,6
11/2/2016,87001,Crested Beaut,6,233.7,0.125,106.86,6
10/16/2016,87001,Quad,1,44.96,0,30.39,4
11/11/2016,87315,Majestic Beaut,1,33.95,0,21.72,6
11/16/2016,87506,Bellen,1,25.95,0,17.13,1
11/17/2016,87315,Fun Fly,12,59.4,0.215,96.48,4
11/15/2016,87315,Majestic Beaut,1,33.95,0,20.38,1
12/1/2016,87001,Carlota,1,28.95,0,16.13,1
11/7/2016,87103,Fun Fly,10,49.5,0.125,10.3,6
11/7/2016,87001,Majestic Beaut,1,33.95,0,24.05,4
12/23/2016,87001,Aspen,1,28.95,0,18.8,3
10/1/2016,87001,Carlota,1,28.95,0,12.81,4
11/15/2016,87001,Carlota,1,28.95,0,13.33,1
12/15/2016,87001,Majestic Beaut,2,67.9,0,33.92,8
