Date,Store Zip Code,Product,Units,Amount of Sale,Revenue Discount,COGS,Payment ID,,,,,,,,
11/30/2016,97401,Quad,1,43.96,0,22.14,2,,,,,,,,
12/21/2016,97229,Yanaki,1,28.75,0,14.94,4,,,,,,,,
11/5/2016,97440,Carlota,12,335.4,0.1875,143.4,4,,,,,,,,
12/3/2016,97204,Yanaki,2,57.5,0,32.68,4,,,,,,,,
11/29/2016,97440,Bellen,6,149.7,0.1,88.02,6,,,,,,,,
11/6/2016,97401,Bellen,1,24.95,0,14.89,6,,,,,,,,
10/17/2016,97283,Bellen,6,149.7,0.1,85.86,4,,,,,,,,
12/1/2016,97229,Bellen,1,24.95,0,13.65,6,,,,,,,,
12/3/2016,97229,Quad,9,395.64,0.1,194.31,5,,,,,,,,
12/18/2016,97204,Quad,1,43.96,0,22.53,2,,,,,,,,
12/6/2016,97229,Fun Fly,1,4.95,0,4.66,4,,,,,,,,
11/12/2016,97440,Yanaki,11,316.25,0.1,161.26,7,,,,,,,,
12/12/2016,97204,Quad,1,43.96,0,21.68,7,,,,,,,,
10/6/2016,97283,Bellen,1,24.95,0,13.97,4,,,,,,,,
10/2/2016,97401,Fun Fly,1,4.95,0,2.95,6,,,,,,,,
12/16/2016,97229,Quad,1,43.96,0,21.51,1,,,,,,,,
12/15/2016,97204,Fun Fly,12,59.4,0.1875,49.2,4,,,,,,,,
12/2/2016,97401,Fun Fly,4,19.8,0.1,13.16,7,,,,,,,,
10/11/2016,97440,Fun Fly,1,4.95,0,4.95,3,,,,,,,,
12/12/2016,97440,Carlota,1,27.95,0,12.14,4,,,,,,,,
10/17/2016,97283,Fun Fly,1,4.95,0,4.86,3,,,,,,,,
10/29/2016,97204,Quad,6,263.76,0.1,133.86,6,,,,,,,,
10/4/2016,97283,Quad,1,43.96,0,21.64,7,,,,,,,,
10/10/2016,97204,Quad,1,43.96,0,21.82,8,,,,,,,,
11/3/2016,97283,Quad,12,527.52,0.1875,282,4,,,,,,,,
12/13/2016,97222,Carlota,6,167.7,0.1,69.06,4,,,,,,,,
12/18/2016,97283,Yanaki,9,258.75,0.1,148.95,6,,,,,,,,
10/21/2016,97204,Carlota,12,335.4,0.1875,163.56,2,,,,,,,,
12/19/2016,97401,Aspen,6,167.7,0.1,81.18,6,,,,,,,,
11/7/2016,97204,Quad,1,43.96,0,23.82,1,,,,,,,,
12/4/2016,97283,Quad,12,527.52,0.1875,265.56,6,,,,,,,,
11/27/2016,97204,Quad,12,527.52,0.1875,259.92,5,,,,,,,,
10/1/2016,97204,Bellen,1,24.95,0,14.97,4,,,,,,,,
11/12/2016,97204,Bellen,12,299.4,0.1875,177.48,7,,,,,,,,
10/30/2016,97229,Carlota,5,139.75,0.1,66.3,2,,,,,,,,
10/16/2016,97204,Bellen,3,74.85,0,41.67,3,,,,,,,,
10/26/2016,97440,Quad,1,43.96,0,21.53,6,,,,,,,,
12/3/2016,97283,Yanaki,12,345,0.1875,178.8,6,,,,,,,,
12/3/2016,97222,Bellen,1,24.95,0,12.81,1,,,,,,,,
11/21/2016,97440,Quad,1,43.96,0,23.54,1,,,,,,,,
12/5/2016,97440,Quad,1,43.96,0,23.03,3,,,,,,,,
10/14/2016,97229,Quad,6,263.76,0.1,138.84,3,,,,,,,,
12/5/2016,97204,Quad,1,43.96,0,23.62,5,,,,,,,,
11/16/2016,97283,Yanaki,1,28.75,0,15.01,3,,,,,,,,
11/8/2016,97204,Yanaki,1,28.75,0,16.15,1,,,,,,,,
11/7/2016,97440,Carlota,12,335.4,0.1875,156.24,3,,,,,,,,
12/18/2016,97222,Quad,1,43.96,0,22.1,4,,,,,,,,
10/14/2016,97440,Bellen,1,24.95,0,13.99,3,,,,,,,,
12/9/2016,97222,Carlota,1,27.95,0,11.67,4,,,,,,,,
11/25/2016,97440,Quad,1,43.96,0,22.08,7,,,,,,,,
